Role,Start timecode,End timecode,Speaker,Transcript,,
Q,00:00:02;23,00:00:04;01,Sade,What is your full name? ,,
A,00:00:04;11,00:00:06;28,Auntie,Erlene Curry. ,,
Q,00:00:06;28,00:00:10;02,Sade,What is your birth date and age and where were you born? ,,
A,00:00:10;02,00:00:21;17,Auntie,"My birthday is May 27.  I was born 1934.  I was born in Wightsville, Georgia. ",,
Q,00:00:21;19,00:00:24;05,Sade,Who are your parents? ,,
A,00:00:24;05,00:00:31;15,Auntie,My mother is Bernice Curry.  My father was Sam Reese. But they wasn't together; they separated. ,,
Q,00:00:32;20,00:00:32;23,Sade,What were your parents like?,,
A,00:00:33;08,00:00:40;21,Auntie,I had a wonderful mother.  The stepfather he was nice.,,
Q,00:00:40;21,00:00:42;07,Sade,How was your relationship with your parents?,,
A,00:00:43;15,00:00:50;23,Auntie,"Wonderful with my&nbsp;my mother. My father was on the  quiet side. And that wasnt, he didn't talk that much.  He was there.  ",,
A,00:00:54;01,00:00:59;21,SF2, So yes yes father stepfather. ,,
A,00:01:03;14,00:01:11;02,Auntie,So are you my real biological father right. ,,Annotation
Q,00:01:14;12,00:01:16;15,Sade,Where did you grow up? ,,
A,00:01:16;18,00:01:27;23,Auntie,I grew up in Staten Island. I was born in Georgia. I was born in Wrightsville Georgia say they move. ,,
A,00:01:29;03,00:01:35;02,Auntie,Now to Dublin Georgia and I came here when I was 10 years or came to Staten Island when I was 10 years old. ,,
Q,00:01:38;12,00:01:54;09,Sade,So describe the place where you grew up with a Tottenville.right. So I guess each of those places is so. 
A,00:01:57;26,00:02:04;04,F113,Sad now is that right. Feels like farm land. 
A,00:02:05;05,00:03:05;24,SF2,I say that it's farmland. It was nice but it's like in a country where they grew cotton. And they had the corn and the pigs and the cows. All that was there that such a move to Dublin went to Dublin in town it was like. It was nice quiet. People nice to me speak but. A lot of prejudice there. Back in my field and turbulent racial racial prejudice. And we moved to Canada Staten Island an Italian Nilesat and Staten Island and I've been here every since. And I'm 83 years old. So I couldn't send a loving caring family. It's a pleasure. 
Q,00:03:06;03,00:03:16;29,Auntie,Would you say one thing that makes a racial prejudice. 
A,00:03:18;21,00:03:35;21,F125,Yes I was I was less prejudice the racial prejudice that was like in Townsville. There was not many blacks there and there was a hatred there and that's for me is still bad but it was as bad as being down south. 
A,00:03:36;16,00:03:41;25,SF2,Yes but school was better. So could you describe a little. 
A,00:03:43;09,00:03:48;29,Auntie,Hardship having to do with those. 
A,00:03:49;29,00:04:04;23,SF2,Yes. Our ships there were like you when you went shopping. We didn't have much when go like back you are secondary and you can't go here and you can't go there you couldn't go there. 
A,00:04:05;06,00:04:08;15,F125,So places couldn't go shopping. 
A,00:04:08;17,00:04:31;09,M23,There's a very small town which still there was a smell that made it so hard being unprejudiced being there would you say that maybe other people would like have it. 
A,00:04:32;16,00:04:44;28,Auntie,So have they say. There was there found some that was just had a nasty attitude. Because of what color. The. 
A,00:04:45;11,00:04:53;21,F125,Black race whatever save it had the message and you go there and find the ones that was nice and pleasant. I was there for you. 
A,00:04:54;19,00:05:30;14,F110,And I have a loving caring family which is a blessing and Riceville and it was a pleasure of places. Even worse there was was such a certain extent they were they were prejudice here and you could see it in Townsville there and the way they act and the either the wrong that the black savey want to be bothered with us saying you're from the south and you know this that the other. 
A,00:05:31;02,00:05:49;22,F145,And they thought they were better but thank God our family that kept us safe. Did the right thing for our parents was there for us and that we didn't have to worry about it. The family was everything. 
A,00:05:50;29,00:06:01;11,M21,She does so well what we had a wonderful mother. She was a blessing. So. 
Q,00:06:08;24,00:06:13;08,M9,How would you say that. 
