Role,Start timecode,End timecode,Speaker,Transcript
A,00:00:02;08,00:00:09;26,F45,So her name is that you know. Like. My great grandmother's. 
A,00:00:10;24,00:00:21;23,F1,Mother told me. I didn't really know her but she told us about her mother being ill but then saying that he's back there was a great great grandmother. From. 
Q,00:00:21;27,00:00:29;22,F2,My mother's side. Tell me about George. 
A,00:00:29;23,00:00:37;21,F1,George is a quiet small town. I didn't know the population of it but it was a small quiet. Like I say. 
A,00:00:38;07,00:00:51;26,F38,It seemed like a light coming into it a light in the middle and the light going out. That's how small Riceville was when I was there small very very very light traffic lights. There. 
Q,00:00:52;08,00:01:01;19,F7,Are a lot of cars on the road. No that wasn't us during that time there wasn't many cars very few cars. 
Q,00:01:01;19,00:01:04;07,F2,Have you ever ventured out of your town. 
A,00:01:04;07,00:01:33;26,F7,Did you ever venture out of my town to go visit relatives. Like I said Savannah TENNO. Atlanta and Dublin were just about. To do a. Was just visiting there. I like DOUBLE VERTICAL I stay there longer with my mother's sister. And it was nice there. And I enjoy it because I spent my time there. 
A,00:01:36;11,00:02:07;03,F10,Relaxing there you know. So tell me about your. It was like. Vegas had I have pigs cows. A couple of goats. And they grow cotton. And cotton on the farm came. So they could get the syrup and they made the syrup and. 
A,00:02:08;18,00:02:21;06,F5,And that pear trees and apple trees on the farm. That's what we have. Not that many trees like that but we have a few that we had that they wanted to have. Only had a. 
A,00:02:24;23,00:02:31;08,F7,Back there from the ground. My mother's parents grandparents. 
A,00:02:31;21,00:02:50;14,F21,Well like I said that's OK. So you like it when you say you know how they came. No no I don't I don't. Because your mother was saying something about. Their. 
A,00:02:52;07,00:02:59;07,F10,Land. But it was back then. Oh they lost it because it was I forgot what had. 
A,00:03:00;04,00:03:23;10,F25,Happened in those days. I can't think of what it was. Those are. What I'm trying to think of the word to say what it was like in those days. With them you know. For them to lose as much as they had. 
A,00:03:25;02,00:03:46;06,F5,Because what you did not kill anything like that. Think what it was now. Is there a lot of land but it lost a lot because. Of the. Oh sure I can think of it now. 
A,00:03:50;23,00:04:03;22,F42,WERTHEIMER It was back. Back there. He was and it was he wasn't a slave but it just. 
A,00:04:04;29,00:04:17;11,F5,The blacksmith was allowed to have. They just didn't have that much. When the losses they took the land. And that's what happened there but he had some land but not like them before. 
A,00:04:17;20,00:04:35;25,F42,You know. Have yes it was taken away from because of their race. Right. He's still not as much say. 
Q,00:04:35;29,00:04:51;26,F7,Did you ever. Yes I did. Oh. I was small young then I did for fun fun just to go in the field and pick a little see was light but it was fun to do. 
